vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-322	2.2655	2.2083	2.7713
-321.9	2.267	2.209	2.7724
-321.8	2.2677	2.2096	2.7734
-321.7	2.2681	2.2102	2.7745
-321.6	2.2688	2.2108	2.7755
-321.5	2.2695	2.2113	2.7765
-321.4	2.2705	2.2119	2.7775
-321.3	2.2719	2.2124	2.7784
-321.2	2.2732	2.2129	2.7794
-321.1	2.2739	2.2133	2.7804
-321	2.2745	2.2138	2.7813
-320.9	2.2755	2.2143	2.7821
-320.8	2.2764	2.2147	2.783
-320.7	2.2772	2.2151	2.7839
-320.6	2.2785	2.2155	2.7847
-320.5	2.2799	2.2159	2.7856
-320.4	2.2812	2.2163	2.7865
-320.3	2.2822	2.2167	2.7874
-320.2	2.2829	2.2171	2.7883
-320.1	2.2838	2.2174	2.7892
-320	2.2847	2.2177	2.7901
-319.9	2.2854	2.218	2.7911
-319.8	2.2863	2.2184	2.7922
-319.7	2.2872	2.2187	2.7933
-319.6	2.288	2.219	2.7944
-319.5	2.289	2.2194	2.7956
-319.4	2.2899	2.2197	2.7967
-319.3	2.2904	2.22	2.7978
-319.2	2.2909	2.2203	2.799
-319.1	2.2918	2.2206	2.8002
-319	2.2934	2.2209	2.8013
-318.9	2.2948	2.2212	2.8025
-318.8	2.2954	2.2215	2.8036
-318.7	2.2957	2.2218	2.8047
-318.6	2.2963	2.222	2.8057
-318.5	2.2974	2.2223	2.8067
-318.4	2.2982	2.2226	2.8076
-318.3	2.299	2.2229	2.8084
-318.2	2.2999	2.2232	2.8092
-318.1	2.3007	2.2235	2.8099
-318	2.3015	2.2239	2.8105
-317.9	2.3021	2.2242	2.811
-317.8	2.3027	2.2246	2.8114
-317.7	2.3034	2.2249	2.8117
-317.6	2.3039	2.2252	2.812
-317.5	2.3044	2.2256	2.8122
-317.4	2.3052	2.2259	2.8124
-317.3	2.3062	2.2263	2.8125
-317.2	2.3069	2.2266	2.8126
