	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-308.9	2.3357	2.2791	2.803
-308.8	2.3353	2.2793	2.8026
-308.7	2.3349	2.2795	2.8022
-308.6	2.3346	2.2796	2.8018
-308.5	2.3345	2.2798	2.8014
-308.4	2.3343	2.28	2.801
-308.3	2.3341	2.2801	2.8006
-308.2	2.3337	2.2803	2.8001
-308.1	2.3334	2.2804	2.7996
-308	2.333	2.2805	2.7991
-307.9	2.3326	2.2807	2.7985
-307.8	2.3324	2.2808	2.7979
-307.7	2.3322	2.2809	2.7972
-307.6	2.3321	2.281	2.7965
-307.5	2.332	2.281	2.7956
-307.4	2.3318	2.281	2.7948
-307.3	2.3314	2.281	2.7939
-307.2	2.3312	2.281	2.793
-307.1	2.331	2.281	2.792
-307	2.3307	2.2809	2.791
-306.9	2.3306	2.2809	2.7899
-306.8	2.3306	2.2808	2.7889
-306.7	2.3304	2.2807	2.7878
-306.6	2.3303	2.2805	2.7867
-306.5	2.3302	2.2804	2.7856
-306.4	2.3301	2.2802	2.7844
-306.3	2.3301	2.28	2.7833
-306.2	2.33	2.2798	2.7821
-306.1	2.33	2.2796	2.781
-306	2.33	2.2793	2.7798
-305.9	2.3299	2.279	2.7786
-305.8	2.3299	2.2786	2.7775
-305.7	2.3299	2.2783	2.7764
-305.6	2.3298	2.2779	2.7754
-305.5	2.3298	2.2775	2.7743
-305.4	2.3298	2.2772	2.7733
-305.3	2.3298	2.2768	2.7722
-305.2	2.3298	2.2764	2.7712
-305.1	2.3297	2.276	2.7703
-305	2.3296	2.2756	2.7693
-304.9	2.3294	2.2751	2.7684
-304.8	2.3292	2.2747	2.7675
-304.7	2.3292	2.2742	2.7666
-304.6	2.329	2.2737	2.7657
-304.5	2.3289	2.2732	2.7648
-304.4	2.3287	2.2727	2.7639
-304.3	2.3285	2.2722	2.763
-304.2	2.3282	2.2717	2.7621
-304.1	2.328	2.2712	2.7612
-304	2.3278	2.2707	2.7603
-303.9	2.3276	2.2702	2.7595
-303.8	2.3273	2.2697	2.7586
-303.7	2.3271	2.2691	2.7578
-303.6	2.3269	2.2686	2.757
-303.5	2.3266	2.2681	2.7562
-303.4	2.3263	2.2676	2.7555
-303.3	2.3261	2.2671	2.7548
-303.2	2.3259	2.2666	2.7541
-303.1	2.3257	2.266	2.7534
-303	2.3254	2.2655	2.7528
-302.9	2.3254	2.2649	2.7521
-302.8	2.3252	2.2643	2.7515
-302.7	2.3251	2.2637	2.7508
-302.6	2.325	2.2631	2.7502
-302.5	2.325	2.2625	2.7497
-302.4	2.3248	2.2619	2.7491
-302.3	2.3247	2.2613	2.7486
-302.2	2.3246	2.2607	2.7481
-302.1	2.3245	2.26	2.7477
-302	2.3243	2.2594	2.7473
-301.9	2.3241	2.2588	2.7469
-301.8	2.3238	2.2581	2.7466
-301.7	2.3238	2.2575	2.7463
-301.6	2.3236	2.2569	2.746
-301.5	2.3233	2.2562	2.7458
-301.4	2.3231	2.2556	2.7456
-301.3	2.3227	2.2549	2.7455
-301.2	2.3224	2.2542	2.7454
-301.1	2.322	2.2536	2.7453
-301	2.3217	2.2529	2.7453
-300.9	2.3215	2.2522	2.7453
-300.8	2.3212	2.2515	2.7454
-300.7	2.3209	2.2508	2.7455
-300.6	2.3205	2.2501	2.7456
-300.5	2.3202	2.2494	2.7458
-300.4	2.3199	2.2487	2.746
-300.3	2.3194	2.248	2.7464
-300.2	2.319	2.2474	2.7467
-300.1	2.3186	2.2467	2.747
-300	2.3182	2.2461	2.7474
-299.9	2.3177	2.2454	2.7477
-299.8	2.3172	2.2448	2.7481
-299.7	2.3168	2.2441	2.7485
-299.6	2.3162	2.2435	2.7489
-299.5	2.3157	2.2428	2.7493
-299.4	2.3151	2.2422	2.7497
-299.3	2.3145	2.2415	2.75
-299.2	2.3138	2.2408	2.7503
-299.1	2.3132	2.2402	2.7507
-299	2.3127	2.2395	2.751
-298.9	2.3121	2.2389	2.7512
-298.8	2.3115	2.2383	2.7515
-298.7	2.311	2.2377	2.7516
-298.6	2.3103	2.2371	2.7519
-298.5	2.3097	2.2365	2.752
-298.4	2.3091	2.2359	2.7522
-298.3	2.3087	2.2354	2.7524
-298.2	2.3081	2.2348	2.7525
-298.1	2.3076	2.2342	2.7526
-298	2.3069	2.2337	2.7528
-297.9	2.3063	2.2331	2.7529
-297.8	2.3057	2.2325	2.7531
-297.7	2.3052	2.232	2.7532
-297.6	2.3045	2.2315	2.7534
-297.5	2.3038	2.2309	2.7536
-297.4	2.3032	2.2304	2.7538
-297.3	2.3025	2.2299	2.754
-297.2	2.3019	2.2294	2.7543
-297.1	2.3012	2.2289	2.7546
-297	2.3007	2.2284	2.755
-296.9	2.3001	2.228	2.7554
-296.8	2.2994	2.2275	2.7558
-296.7	2.2987	2.2271	2.7562
-296.6	2.2981	2.2266	2.7567
-296.5	2.2974	2.2261	2.7572
-296.4	2.2967	2.2257	2.7578
-296.3	2.2959	2.2252	2.7584
-296.2	2.2952	2.2248	2.7589
-296.1	2.2945	2.2243	2.7596
-296	2.2937	2.2239	2.7603
-295.9	2.2928	2.2234	2.7609
-295.8	2.292	2.223	2.7617
-295.7	2.2913	2.2226	2.7624
-295.6	2.2905	2.2221	2.7632
-295.5	2.2896	2.2217	2.7639
-295.4	2.2889	2.2213	2.7647
-295.3	2.288	2.2209	2.7655
-295.2	2.2871	2.2205	2.7664
-295.1	2.2864	2.2201	2.7673
-295	2.2856	2.2197	2.7681
-294.9	2.2848	2.2192	2.7689
-294.8	2.2841	2.2188	2.7698
-294.7	2.2834	2.2183	2.7707
-294.6	2.2826	2.2179	2.7716
-294.5	2.2819	2.2174	2.7725
-294.4	2.2812	2.217	2.7735
-294.3	2.2805	2.2165	2.7744
-294.2	2.2798	2.216	2.7753
-294.1	2.2791	2.2156	2.7763
-294	2.2783	2.2151	2.7772
-293.9	2.2776	2.2147	2.7782
-293.8	2.2768	2.2143	2.7791
-293.7	2.2761	2.2139	2.78
-293.6	2.2753	2.2135	2.7809
-293.5	2.2746	2.2131	2.7818
-293.4	2.2739	2.2126	2.7827
-293.3	2.2732	2.2122	2.7835
-293.2	2.2725	2.2118	2.7844
-293.1	2.2718	2.2114	2.7852
-293	2.2711	2.2109	2.786
-292.9	2.2703	2.2105	2.7868
-292.8	2.2695	2.21	2.7875
-292.7	2.2688	2.2096	2.7883
-292.6	2.268	2.2092	2.789
-292.5	2.2672	2.2087	2.7897
-292.4	2.2664	2.2083	2.7903
-292.3	2.2657	2.2079	2.791
-292.2	2.265	2.2075	2.7916
-292.1	2.2642	2.2071	2.7922
-292	2.2635	2.2067	2.7928
-291.9	2.2627	2.2063	2.7934
-291.8	2.262	2.2059	2.794
-291.7	2.2613	2.2055	2.7946
-291.6	2.2606	2.2051	2.7952
-291.5	2.2598	2.2047	2.7959
-291.4	2.259	2.2043	2.7965
-291.3	2.2582	2.2038	2.7972
-291.2	2.2575	2.2034	2.7979
-291.1	2.2568	2.2029	2.7986
-291	2.2561	2.2025	2.7993
-290.9	2.2554	2.202	2.8
-290.8	2.2547	2.2016	2.8008
-290.7	2.254	2.2011	2.8015
-290.6	2.2532	2.2007	2.8023
-290.5	2.2526	2.2002	2.803
-290.4	2.2519	2.1997	2.8037
-290.3	2.2512	2.1993	2.8044
-290.2	2.2505	2.1988	2.8051
-290.1	2.2496	2.1984	2.8058
-290	2.249	2.1979	2.8064
-289.9	2.2482	2.1974	2.8071
-289.8	2.2476	2.197	2.8077
-289.7	2.2469	2.1965	2.8083
-289.6	2.2461	2.196	2.8088
-289.5	2.2454	2.1955	2.8093
