CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-169.3	1.053019322	5	5	
-169.05	1.052823762	5	5	
-168.8	1.05275728	5	5	
-168.55	1.052850927	5	5	
-168.3	1.05311411	5	5	
-168.05	1.053526961	5	5	
-167.8	1.054038795	5	5	
-167.55	1.054575818	5	5	
-167.3	1.055057099	5	5	
-167.05	1.05541525	5	5	
-166.8	1.055616613	5	5	
-166.55	1.05567411	5	5	
-166.3	1.055645978	5	5	
-166.05	1.05561797	5	5	
-165.8	1.055674702	5	5	
-165.55	1.055872149	5	5	
-165.3	1.056222502	5	5	
-165.05	1.056694992	5	5	
-164.8	1.057228397	5	5	
-164.55	1.057749208	5	5	
-164.3	1.058193087	5	5	
-164.05	1.058529029	5	5	
-163.8	1.058780252	5	5	
-163.55	1.059027789	5	5	
-163.3	1.059383555	5	5	
-163.05	1.059935802	5	5	
-162.8	1.06069279	5	5	
-162.55	1.061560981	5	5	
-162.3	1.062378831	5	5	
-162.05	1.062993161	5	5	
-161.8	1.06333605	5	5	
-161.55	1.063458174	5	5	
-161.3	1.063501455	5	5	
-161.05	1.063630008	5	5	
-160.8	1.063959027	5	5	
-160.55	1.064515239	5	5	
-160.3	1.065238839	5	5	
-160.05	1.066014378	5	5	
-159.8	1.066710431	5	5	
-159.55	1.067214733	5	5	
-159.3	1.067461786	5	5	
-159.05	1.067453418	5	5	
-158.8	1.067267847	5	5	
-158.55	1.067047602	5	5	
-158.3	1.066960548	5	5	
-158.05	1.06714265	5	5	
-157.8	1.067646915	5	5	
-157.55	1.068426992	5	5	
-157.3	1.06936956	5	5	
-157.05	1.070363185	5	5	
-156.8	1.071368408	5	5	
-156.55	1.072449528	5	5	
-156.3	1.073746971	5	5	
-156.05	1.075400616	5	5	
-155.8	1.077461242	5	5	
-155.55	1.079834364	5	5	
-155.3	1.082284778	5	5	
-155.05	1.08450085	5	5	
-154.8	1.086190721	5	5	
-154.55	1.087170691	5	5	
-154.3	1.087412315	5	5	
-154.05	1.087033979	5	5	
-153.8	1.086245884	5	5	
-153.55	1.08527526	5	5	
-153.3	1.08430452	5	5	
-153.05	1.083446126	5	5	
-152.8	1.082757903	5	5	
-152.55	1.082281428	5	5	
-152.3	1.082075759	5	5	
-152.05	1.08222507	5	5	
-151.8	1.082816744	5	5	
-151.55	1.083904026	5	5	
-151.3	1.085473655	5	5	
-151.05	1.087432646	5	5	
-150.8	1.089617167	5	5	
-150.55	1.091819043	5	5	
-150.3	1.093824381	5	5	
-150.05	1.095459392	5	5	
-149.8	1.096635384	5	5	
-149.55	1.097378785	5	5	
-149.3	1.097830316	5	5	
-149.05	1.098206147	5	5	
-148.8	1.098731194	5	5	
-148.55	1.099569934	5	5	
-148.3	1.100782252	5	5	
-148.05	1.102318969	5	5	
-147.8	1.104052479	5	5	
-147.55	1.105824798	5	5	
-147.3	1.107494415	5	5	
-147.05	1.108970945	5	5	
-146.8	1.110234219	5	5	
-146.55	1.111337183	5	5	
-146.3	1.112391586	5	5	
-146.05	1.113536928	5	5	
-145.8	1.114898233	5	5	
-145.55	1.116544275	5	5	
-145.3	1.118460411	5	5	
-145.05	1.120547356	5	5	
-144.8	1.122649813	5	5	
-144.55	1.124608845	5	5	
-144.3	1.126321403	5	5	
-144.05	1.127783701	5	5	
