CA	pMess	dummy	dummy
[KWnZOT]	[bar]	[bar]	[bar]
-274.05	1.071817576	5	5
-273.8	1.071997702	5	5
-273.55	1.072157401	5	5
-273.3	1.072236447	5	5
-273.05	1.072190401	5	5
-272.8	1.07200515	5	5
-272.55	1.071706416	5	5
-272.3	1.071359653	5	5
-272.05	1.071057272	5	5
-271.8	1.070894075	5	5
-271.55	1.070937178	5	5
-271.3	1.071200862	5	5
-271.05	1.071637287	5	5
-270.8	1.072149219	5	5
-270.55	1.072622389	5	5
-270.3	1.072966158	5	5
-270.05	1.07314637	5	5
-269.8	1.073196275	5	5
-269.55	1.073199903	5	5
-269.3	1.073253792	5	5
-269.05	1.07342227	5	5
-268.8	1.073704581	5	5
-268.55	1.074027597	5	5
-268.3	1.074267773	5	5
-268.05	1.074294741	5	5
-267.8	1.074020912	5	5
-267.55	1.073439626	5	5
-267.3	1.072638876	5	5
-267.05	1.071786217	5	5
-266.8	1.071089807	5	5
-266.55	1.070747379	5	5
-266.3	1.070897502	5	5
-266.05	1.071585624	5	5
-265.8	1.072752352	5	5
-265.55	1.074245227	5	5
-265.3	1.075849657	5	5
-265.05	1.077331151	5	5
-264.8	1.078479719	5	5
-264.55	1.079148138	5	5
-264.3	1.079277792	5	5
-264.05	1.078908151	5	5
-263.8	1.078168294	5	5
-263.55	1.077251267	5	5
-263.3	1.076374835	5	5
-263.05	1.075735444	5	5
-262.8	1.075465178	5	5
-262.55	1.075602678	5	5
-262.3	1.076086982	5	5
-262.05	1.07677754	5	5
-261.8	1.077495638	5	5
-261.55	1.078075099	5	5
-261.3	1.078406472	5	5
-261.05	1.078460993	5	5
-260.8	1.078287836	5	5
-260.55	1.07798767	5	5
-260.3	1.077673648	5	5
-260.05	1.07743432	5	5
-259.8	1.07731083	5	5
-259.55	1.077294302	5	5
-259.3	1.077341575	5	5
-259.05	1.077401357	5	5
-258.8	1.077440396	5	5
-258.55	1.077460598	5	5
-258.3	1.07750202	5	5
-258.05	1.077631528	5	5
-257.8	1.077921271	5	5
-257.55	1.078423785	5	5
-257.3	1.079151483	5	5
-257.05	1.080067148	5	5
