Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
84.4	 293.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 294.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 295.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 296.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 297.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 298.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 299.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 300.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 301.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 302.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 303.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 304.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 305.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 306.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 307.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 308.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 309.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 310.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 311.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 312.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 313.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 314.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 315.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 316.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 317.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 318.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 319.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 320.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 321.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 322.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 323.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 324.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 325.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
