vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-248.2	2.1184	2.0075	2.2404
-248	2.1185	2.0078	2.2392
-247.8	2.1174	2.008	2.2378
-247.6	2.1171	2.0083	2.2365
-247.4	2.1183	2.0088	2.2351
-247.2	2.1166	2.0092	2.2335
-247	2.116	2.0096	2.2319
-246.8	2.1174	2.0103	2.2302
-246.6	2.1165	2.0108	2.2284
-246.4	2.1146	2.0114	2.2264
-246.2	2.1146	2.0122	2.2243
-246	2.1144	2.013	2.2223
-245.8	2.1119	2.0137	2.22
-245.6	2.1105	2.0144	2.2177
-245.4	2.11	2.0153	2.2155
-245.2	2.1088	2.0161	2.2133
-245	2.1072	2.0169	2.2111
-244.8	2.1063	2.0178	2.2089
-244.6	2.1058	2.0187	2.2069
-244.4	2.1043	2.0195	2.2048
-244.2	2.1025	2.0203	2.2028
-244	2.1023	2.0212	2.2008
-243.8	2.1014	2.022	2.1989
-243.6	2.0987	2.0227	2.1968
-243.4	2.0978	2.0234	2.1948
-243.2	2.0974	2.0241	2.1927
-243	2.0963	2.0246	2.1906
-242.8	2.0941	2.0251	2.1884
-242.6	2.0924	2.0255	2.1862
-242.4	2.0916	2.0258	2.1839
-242.2	2.0911	2.0261	2.1817
-242	2.0902	2.0263	2.1794
-241.8	2.0897	2.0263	2.1772
-241.6	2.0904	2.0264	2.175
-241.4	2.0911	2.0263	2.1729
-241.2	2.091	2.0261	2.1708
-241	2.0916	2.0258	2.1687
-240.8	2.0929	2.0255	2.1667
-240.6	2.0932	2.025	2.1646
-240.4	2.0935	2.0245	2.1626
-240.2	2.0949	2.0239	2.1607
-240	2.0958	2.0233	2.1588
-239.8	2.0977	2.0226	2.157
-239.6	2.0996	2.0218	2.1551
-239.4	2.1012	2.0209	2.1532
-239.2	2.102	2.0199	2.1513
-239	2.1046	2.0189	2.1494
-238.8	2.1064	2.0179	2.1476
-238.6	2.1069	2.0168	2.1456
-238.4	2.109	2.0157	2.1438
-238.2	2.1115	2.0146	2.142
-238	2.1124	2.0135	2.1401
-237.8	2.1134	2.0123	2.1384
-237.6	2.1156	2.0112	2.1367
-237.4	2.1172	2.01	2.135
-237.2	2.1181	2.009	2.1334
-237	2.1204	2.008	2.1318
-236.8	2.1224	2.0071	2.1303
-236.6	2.1226	2.0061	2.1286
-236.4	2.1233	2.0053	2.1269
-236.2	2.1252	2.0046	2.1253
-236	2.1263	2.0039	2.1236
-235.8	2.1253	2.0032	2.1217
-235.6	2.1248	2.0026	2.1199
-235.4	2.1258	2.0022	2.1182
-235.2	2.1261	2.0018	2.1165
-235	2.1253	2.0015	2.1147
-234.8	2.1238	2.0013	2.1129
-234.6	2.1229	2.0012	2.1111
-234.4	2.1224	2.0012	2.1094
-234.2	2.1229	2.0013	2.1077
-234	2.1225	2.0016	2.106
-233.8	2.1218	2.0019	2.1042
-233.6	2.1215	2.0023	2.1024
-233.4	2.1214	2.0029	2.1006
-233.2	2.121	2.0035	2.0988
-233	2.1201	2.0041	2.0969
-232.8	2.1182	2.0049	2.0949
-232.6	2.1178	2.0057	2.0928
-232.4	2.1185	2.0068	2.0908
-232.2	2.1178	2.0078	2.0886
-232	2.116	2.0088	2.0864
-231.8	2.1165	2.0099	2.0842
-231.6	2.1173	2.0112	2.082
-231.4	2.1161	2.0123	2.0797
-231.2	2.1158	2.0135	2.0775
-231	2.1172	2.0148	2.0753
-230.8	2.1174	2.0161	2.0731
-230.6	2.117	2.0172	2.0708
-230.4	2.1178	2.0185	2.0687
-230.2	2.1186	2.0198	2.0666
-230	2.1186	2.021	2.0646
-229.8	2.1195	2.0223	2.0626
-229.6	2.1207	2.0236	2.0607
-229.4	2.1213	2.0249	2.0589
-229.2	2.1227	2.0261	2.0572
-229	2.1243	2.0273	2.0556
-228.8	2.1244	2.0285	2.054
-228.6	2.1246	2.0297	2.0525
-228.4	2.1272	2.0309	2.0513
-228.2	2.1284	2.0321	2.0501
-228	2.1276	2.0331	2.0489
-227.8	2.1289	2.0343	2.048
-227.6	2.1309	2.0354	2.0472
-227.4	2.1313	2.0364	2.0464
-227.2	2.1313	2.0374	2.0458
-227	2.1316	2.0385	2.0452
-226.8	2.1319	2.0394	2.0447
-226.6	2.1326	2.0404	2.0443
-226.4	2.1337	2.0414	2.044
-226.2	2.1343	2.0424	2.0438
-226	2.134	2.0433	2.0435
-225.8	2.1342	2.0441	2.0434
-225.6	2.1343	2.045	2.0433
-225.4	2.1342	2.0458	2.0433
-225.2	2.1328	2.0465	2.0433
-225	2.1311	2.0472	2.0432
-224.8	2.1307	2.0479	2.0434
-224.6	2.1314	2.0487	2.0435
-224.4	2.1308	2.0494	2.0436
-224.2	2.1293	2.0501	2.0437
-224	2.1293	2.0508	2.0439
-223.8	2.1296	2.0515	2.0441
-223.6	2.1298	2.0521	2.0443
-223.4	2.1294	2.0526	2.0444
-223.2	2.1302	2.0532	2.0445
-223	2.1303	2.0538	2.0447
-222.8	2.1295	2.0542	2.0448
-222.6	2.1303	2.0547	2.045
-222.4	2.1309	2.0552	2.0452
-222.2	2.131	2.0556	2.0455
-222	2.1316	2.056	2.0458
-221.8	2.1324	2.0563	2.0461
-221.6	2.1327	2.0566	2.0464
-221.4	2.1337	2.0568	2.0467
-221.2	2.1348	2.057	2.047
-221	2.135	2.0572	2.0472
-220.8	2.1356	2.0573	2.0474
-220.6	2.1373	2.0574	2.0477
-220.4	2.139	2.0576	2.0478
-220.2	2.1392	2.0576	2.0478
-220	2.1397	2.0576	2.0477
-219.8	2.1423	2.0577	2.0477
-219.6	2.1443	2.0578	2.0475
-219.4	2.1456	2.0578	2.0472
-219.2	2.1483	2.0578	2.0469
-219	2.1513	2.0578	2.0465
-218.8	2.1531	2.0578	2.0459
-218.6	2.1559	2.0578	2.0453
-218.4	2.1584	2.0578	2.0447
-218.2	2.1593	2.0577	2.0439
