vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-300.7	2.3373	2.2476	2.7455
-300.6	2.3368	2.247	2.7456
-300.5	2.3362	2.2462	2.7456
-300.4	2.3358	2.2455	2.7458
-300.3	2.3353	2.2448	2.7458
-300.2	2.3347	2.2441	2.7459
-300.1	2.3343	2.2433	2.746
-300	2.3338	2.2426	2.7461
-299.9	2.3332	2.2419	2.7463
-299.8	2.3327	2.2412	2.7464
-299.7	2.3323	2.2405	2.7465
-299.6	2.3318	2.2398	2.7465
-299.5	2.3313	2.2391	2.7466
-299.4	2.3307	2.2384	2.7466
-299.3	2.3302	2.2378	2.7467
-299.2	2.3297	2.2371	2.7467
-299.1	2.3291	2.2365	2.7467
-299	2.3285	2.2359	2.7468
-298.9	2.3279	2.2353	2.7468
-298.8	2.3274	2.2347	2.7469
-298.7	2.3269	2.2341	2.7469
-298.6	2.3263	2.2335	2.747
-298.5	2.3257	2.2329	2.7471
-298.4	2.3252	2.2323	2.7472
-298.3	2.3246	2.2318	2.7474
-298.2	2.324	2.2312	2.7476
-298.1	2.3233	2.2306	2.7478
-298	2.3227	2.2301	2.748
-297.9	2.3221	2.2296	2.7483
-297.8	2.3214	2.2291	2.7486
-297.7	2.3207	2.2286	2.7489
-297.6	2.32	2.2281	2.7492
-297.5	2.3193	2.2276	2.7495
-297.4	2.3185	2.2271	2.7499
-297.3	2.3176	2.2266	2.7502
-297.2	2.3168	2.2262	2.7506
-297.1	2.3159	2.2257	2.751
-297	2.315	2.2253	2.7513
-296.9	2.3141	2.2248	2.7518
-296.8	2.3132	2.2244	2.7522
-296.7	2.3124	2.2239	2.7526
-296.6	2.3115	2.2235	2.753
-296.5	2.3106	2.223	2.7534
-296.4	2.3098	2.2226	2.7538
-296.3	2.3089	2.2221	2.7543
-296.2	2.308	2.2217	2.7547
-296.1	2.3071	2.2212	2.7551
-296	2.3061	2.2208	2.7556
-295.9	2.3053	2.2204	2.7561
-295.8	2.3044	2.22	2.7565
-295.7	2.3035	2.2195	2.757
-295.6	2.3026	2.2191	2.7575
-295.5	2.3017	2.2187	2.758
-295.4	2.3009	2.2182	2.7585
-295.3	2.2999	2.2178	2.7591
-295.2	2.2991	2.2173	2.7597
-295.1	2.2983	2.2169	2.7602
-295	2.2975	2.2164	2.7608
-294.9	2.2968	2.216	2.7614
-294.8	2.296	2.2156	2.762
-294.7	2.2951	2.2151	2.7626
-294.6	2.2944	2.2147	2.7633
-294.5	2.2936	2.2143	2.7639
-294.4	2.2928	2.2139	2.7644
-294.3	2.2921	2.2135	2.7651
-294.2	2.2914	2.2131	2.7657
-294.1	2.2905	2.2127	2.7663
-294	2.2898	2.2123	2.7669
-293.9	2.2889	2.2119	2.7674
-293.8	2.288	2.2115	2.768
-293.7	2.2871	2.2111	2.7686
-293.6	2.2862	2.2107	2.7692
-293.5	2.2853	2.2103	2.7697
-293.4	2.2844	2.2099	2.7703
-293.3	2.2835	2.2095	2.7709
-293.2	2.2827	2.2091	2.7715
-293.1	2.2819	2.2087	2.7721
-293	2.281	2.2083	2.7727
-292.9	2.2801	2.2079	2.7734
-292.8	2.2793	2.2075	2.7741
-292.7	2.2785	2.2071	2.7748
-292.6	2.2777	2.2068	2.7756
-292.5	2.2768	2.2064	2.7763
-292.4	2.276	2.2059	2.7772
-292.3	2.2751	2.2056	2.7781
-292.2	2.2743	2.2051	2.779
-292.1	2.2734	2.2047	2.78
-292	2.2726	2.2043	2.7811
-291.9	2.2717	2.2039	2.7822
-291.8	2.2709	2.2034	2.7833
-291.7	2.27	2.203	2.7844
-291.6	2.2692	2.2026	2.7856
-291.5	2.2684	2.2022	2.7868
-291.4	2.2676	2.2018	2.788
-291.3	2.2669	2.2013	2.7892
-291.2	2.2661	2.2009	2.7903
-291.1	2.2652	2.2005	2.7914
-291	2.2645	2.2001	2.7926
-290.9	2.2637	2.1996	2.7936
-290.8	2.2628	2.1992	2.7946
-290.7	2.2621	2.1987	2.7956
-290.6	2.2613	2.1983	2.7964
-290.5	2.2606	2.1978	2.7972
-290.4	2.2598	2.1974	2.798
-290.3	2.2591	2.1969	2.7987
-290.2	2.2583	2.1964	2.7993
-290.1	2.2574	2.1959	2.7998
-290	2.2566	2.1954	2.8003
-289.9	2.2557	2.1949	2.8006
-289.8	2.255	2.1945	2.8009
