vKurbelwinkel	p_Zyl_1 	p_Ein 	p_Aus 
[KWnZOT]	[bar]	[bar]	[bar]
-313.7	2.2877	2.2432	0.98961
-313.6	2.2878	2.2436	0.9896
-313.5	2.2881	2.244	0.98964
-313.4	2.2882	2.2444	0.98968
-313.3	2.2883	2.2448	0.98969
-313.2	2.2884	2.2452	0.98974
-313.1	2.2883	2.2457	0.9898
-313	2.2882	2.2461	0.98984
-312.9	2.2882	2.2465	0.98984
-312.8	2.2884	2.2469	0.98989
-312.7	2.2884	2.2473	0.9899
-312.6	2.2884	2.2478	0.98991
-312.5	2.2886	2.2482	0.9899
-312.4	2.2887	2.2487	0.98992
-312.3	2.2888	2.2491	0.98992
-312.2	2.2889	2.2495	0.9899
-312.1	2.289	2.25	0.9899
-312	2.2891	2.2504	0.98987
-311.9	2.2891	2.2508	0.98983
-311.8	2.2891	2.2512	0.98981
-311.7	2.2889	2.2517	0.98978
-311.6	2.2889	2.2521	0.98974
-311.5	2.2887	2.2525	0.98973
-311.4	2.2885	2.2529	0.98971
-311.3	2.2884	2.2533	0.98967
-311.2	2.2882	2.2537	0.98966
-311.1	2.288	2.2541	0.98964
-311	2.2878	2.2546	0.98962
-310.9	2.2876	2.255	0.9896
-310.8	2.2874	2.2554	0.98954
-310.7	2.2871	2.2559	0.98953
-310.6	2.2867	2.2563	0.98953
-310.5	2.2865	2.2567	0.98951
-310.4	2.2862	2.2572	0.98948
-310.3	2.286	2.2576	0.98951
-310.2	2.2857	2.258	0.98951
-310.1	2.2854	2.2584	0.9895
-310	2.2851	2.2588	0.9895
-309.9	2.2847	2.2592	0.98953
-309.8	2.2844	2.2596	0.98956
-309.7	2.284	2.26	0.98956
-309.6	2.2838	2.2603	0.98956
-309.5	2.2834	2.2607	0.98958
-309.4	2.283	2.261	0.98958
-309.3	2.2827	2.2613	0.98959
-309.2	2.2824	2.2616	0.98966
-309.1	2.282	2.262	0.98966
-309	2.2817	2.2623	0.98964
-308.9	2.2816	2.2626	0.98968
-308.8	2.2813	2.2629	0.98966
-308.7	2.281	2.2631	0.98962
-308.6	2.2809	2.2634	0.98963
-308.5	2.2809	2.2637	0.98962
-308.4	2.2808	2.2639	0.98959
-308.3	2.2807	2.2641	0.98956
-308.2	2.2805	2.2643	0.98957
-308.1	2.2804	2.2644	0.98955
-308	2.2802	2.2645	0.9895
-307.9	2.28	2.2646	0.98948
-307.8	2.2798	2.2647	0.98951
-307.7	2.2796	2.2647	0.9895
-307.6	2.2795	2.2647	0.98949
-307.5	2.2794	2.2647	0.98952
-307.4	2.2794	2.2647	0.98952
-307.3	2.2793	2.2647	0.98952
-307.2	2.2792	2.2646	0.98956
-307.1	2.2792	2.2646	0.98962
-307	2.2791	2.2646	0.98963
-306.9	2.279	2.2645	0.98967
-306.8	2.2789	2.2644	0.98971
