Kurbelwinkel	p_Zyl_1	p_ein_1	p_aus_1	ZZP_1	ti_1	Inj_1	Optiktrigger_1
[KWnZOT]	[bar]	[bar]	[bar]	[V]	[V]	[V]	[V]
-7,800000	10,300941	0,411768	0,943203	0,020753	9,991454	10,333882	-0,011353
-7,700000	10,337564	0,411768	0,943356	0,018312	9,991454	10,321674	-0,011353
-7,600000	10,374187	0,411890	0,943509	0,018312	9,991454	10,321674	-0,011353
-7,500000	10,410810	0,411890	0,943509	0,018312	9,991454	10,321674	-0,011353
-7,400000	10,447433	0,412012	0,943814	0,020753	9,991454	10,321674	-0,011353
-7,300000	10,484056	0,412012	0,943814	0,018312	9,991454	10,321674	-0,011353
-7,200000	10,520679	0,412135	0,943966	0,018312	9,991454	10,321674	-0,011353
-7,100000	10,563407	0,412135	0,944119	0,018312	9,991454	10,321674	-0,011353
-7,000000	10,600030	0,412135	0,944272	0,018312	9,991454	10,321674	-0,011353
-6,900000	10,636654	0,412257	0,944424	0,018312	9,991454	10,321674	-0,011353
-6,800000	10,679380	0,412257	0,944424	0,018312	9,991454	10,309467	-0,011353
-6,700000	10,722108	0,412379	0,944424	0,018312	9,991454	10,297259	-0,011353
-6,600000	10,758731	0,412379	0,944577	0,020753	9,991454	10,285052	-0,011353
-6,500000	10,801458	0,412501	0,944577	0,018312	9,991454	10,260635	-0,011353
-6,400000	10,844186	0,412501	0,944729	0,018312	9,991454	10,248428	-0,011353
-6,300000	10,886913	0,412623	0,944882	0,018312	9,991454	10,236220	-0,011353
-6,200000	10,929641	0,412745	0,945035	0,018312	9,991454	10,224012	-0,011353
-6,100000	10,978471	0,412745	0,945035	0,018312	9,991454	10,236220	-0,011353
-6,000000	11,021199	0,412745	0,945187	0,018312	9,991454	10,236220	-0,011353
-5,900000	11,063926	0,412867	0,945340	0,020753	9,991454	10,248428	-0,011353
-5,800000	11,112757	0,412867	0,945492	0,018312	9,991454	10,248428	-0,011353
-5,700000	11,155484	0,412867	0,945492	0,020753	9,991454	10,236220	-0,011353
-5,600000	11,204315	0,412867	0,945645	0,020753	9,991454	10,248428	-0,011353
-5,500000	11,253147	0,412989	0,945645	0,018312	9,991454	10,236220	-0,011353
-5,400000	11,301977	0,412989	0,945797	0,020753	9,991454	10,236220	-0,011353
-5,300000	11,350809	0,413111	0,945950	0,020753	9,991454	10,224012	-0,011353
-5,200000	11,399640	0,413111	0,945950	0,018312	9,991454	10,211805	-0,011353
-5,100000	11,448471	0,413233	0,945950	0,018312	9,991454	10,211805	-0,011353
-5,000000	11,503406	0,413355	0,946103	0,020753	9,991454	10,199596	-0,011353
-4,900000	11,552238	0,413355	0,946255	0,020753	9,991454	10,199596	-0,011353
-4,800000	11,601068	0,413355	0,946255	0,020753	9,991454	10,199596	-0,011353
-4,700000	11,656003	0,413477	0,946408	0,018312	9,991454	10,211805	-0,011353
-4,600000	11,704835	0,413477	0,946408	0,018312	9,991454	10,199596	-0,011353
-4,500000	11,759768	0,413599	0,946408	0,018312	9,991454	10,199596	-0,011353
-4,400000	11,814704	0,413599	0,946408	0,020753	9,991454	10,211805	-0,011353
-4,300000	11,863536	0,413722	0,946560	0,018312	9,991454	10,211805	-0,011353
-4,200000	11,918470	0,413722	0,946560	0,020753	9,991454	10,224012	-0,011353
-4,100000	11,973405	0,413844	0,946560	0,020753	9,991454	10,224012	-0,011353
-4,000000	12,028340	0,413844	0,946560	0,018312	9,991454	10,248428	-0,011353
-3,900000	12,083275	0,413966	0,946713	0,020753	9,991454	10,260635	-0,011353
-3,800000	12,144314	0,414088	0,946866	0,018312	9,991454	10,272844	-0,011353
-3,700000	12,199249	0,414088	0,946866	0,018312	9,991454	10,297259	-0,011353
-3,600000	12,260287	0,414210	0,946866	0,018312	9,991454	10,309467	-0,011353
-3,500000	12,321326	0,414210	0,946866	0,018312	9,991454	10,321674	-0,011353
-3,400000	12,376262	0,414332	0,946866	0,018312	9,991454	10,333882	-0,011353
-3,300000	12,437301	0,414332	0,946866	0,020753	9,991454	10,333882	-0,011353
-3,200000	12,498340	0,414454	0,947018	0,020753	9,991454	10,346090	-0,011353
-3,100000	12,565482	0,414454	0,946866	0,018312	9,991454	10,333882	-0,011353
-3,000000	12,626521	0,414576	0,946866	0,020753	9,991454	10,358297	-0,011353
-2,900000	12,693664	0,414698	0,947018	0,018312	9,991454	10,370506	-0,011353
-2,800000	12,760807	0,414820	0,947018	0,018312	9,991454	10,382714	-0,011353
-2,700000	12,821846	0,414942	0,947018	0,020753	9,991454	10,407129	-0,011353
-2,600000	12,888988	0,414942	0,947171	0,018312	9,991454	10,419336	-0,011353
-2,500000	12,956132	0,414942	0,947171	0,020753	9,991454	10,443753	-0,011353
-2,400000	13,023274	0,415064	0,947323	0,018312	9,991454	10,443753	-0,011353
-2,300000	13,090417	0,415186	0,947323	0,018312	9,991454	10,468168	-0,011353
-2,200000	13,163663	0,415186	0,947323	0,020753	9,991454	10,480376	-0,011353
-2,100000	13,230805	0,415309	0,947323	0,018312	9,991454	10,504791	-0,011353
-2,000000	13,297948	0,415309	0,947323	0,018312	9,991454	10,541415	-0,011353
-1,900000	13,371196	0,415309	0,947476	0,018312	9,991454	10,553622	-0,011353
-1,800000	13,444442	0,415431	0,947476	0,020753	9,991454	10,590246	-0,011353
-1,700000	13,517688	0,415553	0,947476	0,018312	9,991454	10,602454	-0,011353
-1,600000	13,584832	0,415553	0,947629	0,018312	9,991454	10,614661	-0,011353
-1,500000	13,664182	0,415675	0,947781	0,018312	9,991454	10,639077	-0,011353
-1,400000	13,737430	0,415797	0,947781	0,018312	9,991454	10,639077	-0,011353
-1,300000	13,810676	0,415797	0,947934	0,018312	9,991454	10,675701	-0,011353
-1,200000	13,890027	0,415919	0,947934	0,018312	9,991454	10,687908	-0,011353
-1,100000	13,969377	0,415919	0,947781	0,020753	9,991454	10,712323	-0,011353
-1,000000	14,048728	0,416041	0,947934	0,018312	9,991454	10,736740	-0,011353
-0,900000	14,128078	0,416163	0,947934	0,015870	9,991454	10,773363	-0,011353
-0,800000	14,207429	0,416163	0,948086	0,018312	9,991454	10,809985	-0,011353
-0,700000	14,286778	0,416285	0,948239	0,020753	9,991454	10,834402	-0,011353
-0,600000	14,366130	0,416407	0,948239	0,018312	9,991454	10,871025	-0,011353
-0,500000	14,445479	0,416407	0,948239	0,018312	9,991454	10,883232	-0,011353
-0,400000	14,530934	0,416529	0,948392	0,018312	9,991454	10,907648	-0,011353
-0,300000	14,616389	0,416529	0,948392	0,018312	9,991454	10,919856	-0,011353
