Kurbelwinkel	Volumen	Pm_Zyl-korrigiert	Pm_Saug	Pm_Saug_alt	P_Abg	Pm_Zyl	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[bar]	
-328.200000	0.000083	0.760151	0.853704	0.868111	0.938000	-0.196340	
-328.100000	0.000083	0.760793	0.853408	0.867920	0.937781	-0.195698	
-328.000000	0.000084	0.761532	0.853077	0.867861	0.937593	-0.194959	
-327.900000	0.000084	0.760600	0.852727	0.867716	0.937395	-0.195891	
-327.800000	0.000084	0.761596	0.852245	0.867598	0.937048	-0.194895	
-327.700000	0.000084	0.759540	0.851868	0.867520	0.936781	-0.196951	
-327.600000	0.000085	0.758930	0.851662	0.867444	0.936703	-0.197561	
-327.500000	0.000085	0.758544	0.851265	0.867326	0.936481	-0.197947	
-327.400000	0.000085	0.759348	0.851134	0.867193	0.936396	-0.197144	
-327.300000	0.000086	0.757195	0.850764	0.867047	0.936076	-0.199296	
-327.200000	0.000086	0.756681	0.850438	0.866979	0.935817	-0.199810	
-327.100000	0.000086	0.756585	0.850176	0.866862	0.935677	-0.199906	
-327.000000	0.000086	0.756521	0.849833	0.866593	0.935410	-0.199970	
-326.900000	0.000087	0.756199	0.849569	0.866512	0.935661	-0.200292	
-326.800000	0.000087	0.755332	0.849253	0.866564	0.935504	-0.201159	
-326.700000	0.000087	0.754818	0.848985	0.866497	0.935578	-0.201673	
-326.600000	0.000087	0.754047	0.848615	0.866462	0.935562	-0.202444	
-326.500000	0.000088	0.752120	0.848405	0.866280	0.935370	-0.204371	
-326.400000	0.000088	0.752345	0.847896	0.866069	0.935111	-0.204147	
-326.300000	0.000088	0.754015	0.847684	0.866055	0.934978	-0.202476	
-326.200000	0.000088	0.753308	0.847277	0.866061	0.935091	-0.203183	
-326.100000	0.000089	0.752409	0.847181	0.866125	0.935184	-0.204082	
-326.000000	0.000089	0.751670	0.846884	0.866056	0.935116	-0.204821	
-325.900000	0.000089	0.750835	0.846495	0.865812	0.934906	-0.205656	
-325.800000	0.000090	0.751734	0.846024	0.865751	0.934814	-0.204757	
-325.700000	0.000090	0.751606	0.845897	0.865729	0.934844	-0.204885	
-325.600000	0.000090	0.751252	0.845575	0.865852	0.934852	-0.205239	
-325.500000	0.000090	0.751349	0.845279	0.865816	0.934766	-0.205142	
-325.400000	0.000091	0.750578	0.844993	0.865762	0.934719	-0.205913	
-325.300000	0.000091	0.749004	0.844507	0.865651	0.934572	-0.207487	
-325.200000	0.000091	0.750353	0.844463	0.865799	0.934476	-0.206138	
-325.100000	0.000091	0.750481	0.844100	0.865879	0.934456	-0.206010	
-325.000000	0.000092	0.750835	0.843848	0.865843	0.934313	-0.205656	
-324.900000	0.000092	0.750738	0.843557	0.865693	0.934192	-0.205753	
-324.800000	0.000092	0.748939	0.843326	0.865615	0.934226	-0.207552	
-324.700000	0.000093	0.748329	0.842870	0.865637	0.934390	-0.208162	
