Kurbelwinkel	Hub_AV
[KWnAO]	[mm]
 96.7	 0.315200
 96.8	 0.310600
 96.9	 0.305900
 97.0	 0.301300
 97.1	 0.296700
 97.2	 0.292000
 97.3	 0.287400
 97.4	 0.282700
 97.5	 0.278000
 97.6	 0.273300
 97.7	 0.268600
 97.8	 0.263900
 97.9	 0.259200
 98.0	 0.254500
 98.1	 0.249800
 98.2	 0.245000
 98.3	 0.240200
 98.4	 0.235500
 98.5	 0.230700
 98.6	 0.225900
 98.7	 0.221200
 98.8	 0.216400
 98.9	 0.211500
 99.0	 0.206700
 99.1	 0.201900
 99.2	 0.197100
 99.3	 0.192200
 99.4	 0.187300
 99.5	 0.182400
 99.6	 0.177600
 99.7	 0.172700
 99.8	 0.167800
 99.9	 0.162900
100.0	 0.158000
100.1	 0.153100
100.2	 0.148100
100.3	 0.143200
100.4	 0.138200
100.5	 0.133300
100.6	 0.128300
100.7	 0.123400
100.8	 0.118400
100.9	 0.113400
101.0	 0.108400
101.1	 0.103400
101.2	 0.097600
101.3	 0.090400
101.4	 0.083300
101.5	 0.076200
101.6	 0.070100
101.7	 0.065600
101.8	 0.061000
101.9	 0.056500
102.0	 0.052000
102.1	 0.047400
102.2	 0.042800
102.3	 0.038200
102.4	 0.033700
102.5	 0.029100
102.6	 0.024500
102.7	 0.019900
102.8	 0.015400
102.9	 0.010800
103.0	 0.006200
103.1	 0.001600
