Kurbelwinkel	Hub_EV
[KWnEO]	[mm]
 69.6	 1.783000
 69.7	 1.782000
 69.8	 1.781000
 69.9	 1.779000
 70.0	 1.778000
 70.1	 1.777000
 70.2	 1.775000
 70.3	 1.774000
 70.4	 1.773000
 70.5	 1.771000
 70.6	 1.770000
 70.7	 1.768000
 70.8	 1.767000
 70.9	 1.765000
 71.0	 1.764000
 71.1	 1.762000
 71.2	 1.761000
 71.3	 1.759000
 71.4	 1.758000
 71.5	 1.756000
 71.6	 1.755000
 71.7	 1.753000
 71.8	 1.752000
 71.9	 1.750000
 72.0	 1.748000
 72.1	 1.747000
 72.2	 1.745000
 72.3	 1.744000
 72.4	 1.742000
 72.5	 1.740000
 72.6	 1.739000
 72.7	 1.737000
 72.8	 1.735000
 72.9	 1.734000
 73.0	 1.732000
 73.1	 1.730000
 73.2	 1.728000
 73.3	 1.727000
 73.4	 1.725000
 73.5	 1.723000
 73.6	 1.721000
 73.7	 1.720000
 73.8	 1.718000
 73.9	 1.716000
 74.0	 1.714000
 74.1	 1.712000
 74.2	 1.710000
 74.3	 1.709000
 74.4	 1.707000
 74.5	 1.705000
 74.6	 1.703000
 74.7	 1.701000
 74.8	 1.699000
 74.9	 1.697000
 75.0	 1.695000
 75.1	 1.693000
 75.2	 1.691000
 75.3	 1.689000
 75.4	 1.687000
 75.5	 1.685000
 75.6	 1.683000
 75.7	 1.681000
 75.8	 1.679000
 75.9	 1.677000
 76.0	 1.675000
 76.1	 1.673000
 76.2	 1.671000
 76.3	 1.669000
 76.4	 1.667000
 76.5	 1.665000
 76.6	 1.663000
 76.7	 1.660000
 76.8	 1.658000
 76.9	 1.656000
 77.0	 1.654000
 77.1	 1.652000
 77.2	 1.650000
 77.3	 1.647000
 77.4	 1.645000
 77.5	 1.643000
 77.6	 1.641000
 77.7	 1.638000
 77.8	 1.636000
 77.9	 1.634000
 78.0	 1.632000
 78.1	 1.629000
 78.2	 1.627000
 78.3	 1.625000
 78.4	 1.622000
 78.5	 1.620000
 78.6	 1.618000
 78.7	 1.615000
 78.8	 1.613000
 78.9	 1.610000
 79.0	 1.608000
 79.1	 1.606000
 79.2	 1.603000
 79.3	 1.601000
 79.4	 1.598000
 79.5	 1.596000
 79.6	 1.593000
 79.7	 1.591000
 79.8	 1.588000
 79.9	 1.586000
 80.0	 1.583000
 80.1	 1.581000
 80.2	 1.578000
 80.3	 1.576000
 80.4	 1.573000
 80.5	 1.571000
 80.6	 1.568000
 80.7	 1.565000
 80.8	 1.563000
 80.9	 1.560000
 81.0	 1.557000
 81.1	 1.555000
 81.2	 1.552000
 81.3	 1.549000
 81.4	 1.547000
 81.5	 1.544000
 81.6	 1.541000
 81.7	 1.539000
 81.8	 1.536000
 81.9	 1.533000
 82.0	 1.530000
 82.1	 1.528000
 82.2	 1.525000
 82.3	 1.522000
 82.4	 1.519000
 82.5	 1.516000
 82.6	 1.514000
 82.7	 1.511000
 82.8	 1.508000
 82.9	 1.505000
 83.0	 1.502000
 83.1	 1.499000
 83.2	 1.496000
 83.3	 1.493000
 83.4	 1.490000
 83.5	 1.488000
 83.6	 1.485000
 83.7	 1.482000
 83.8	 1.479000
 83.9	 1.476000
 84.0	 1.473000
 84.1	 1.470000
 84.2	 1.467000
 84.3	 1.464000
 84.4	 1.461000
 84.5	 1.458000
 84.6	 1.454000
 84.7	 1.451000
 84.8	 1.448000
 84.9	 1.445000
 85.0	 1.442000
 85.1	 1.439000
 85.2	 1.436000
 85.3	 1.433000
 85.4	 1.430000
