CA	pMess	dummy	dummy	
[KWnZOT]	[bar]	[bar]	[bar]	
-205.15	1.2889702	5	5	619
-204.9	1.288815624	5	5	620
-204.65	1.288401019	5	5	621
-204.4	1.287902876	5	5	622
-204.15	1.287615889	5	5	623
-203.9	1.287828313	5	5	624
-203.65	1.288698898	5	5	625
-203.4	1.290204976	5	5	626
-203.15	1.292165824	5	5	627
-202.9	1.294294586	5	5	628
-202.65	1.296242093	5	5	629
-202.4	1.297646966	5	5	630
-202.15	1.298230408	5	5	631
-201.9	1.297924889	5	5	632
-201.65	1.296943936	5	5	633
-201.4	1.295691543	5	5	634
-201.15	1.294528534	5	5	635
-200.9	1.293567999	5	5	636
-200.65	1.292688924	5	5	637
-200.4	1.291774705	5	5	638
-200.15	1.290960831	5	5	639
-199.9	1.290649961	5	5	640
-199.65	1.291266139	5	5	641
-199.4	1.292953976	5	5	642
-199.15	1.295449668	5	5	643
-198.9	1.298175593	5	5	644
-198.65	1.300453498	5	5	645
-198.4	1.301723145	5	5	646
-198.15	1.301718262	5	5	647
-197.9	1.300570487	5	5	648
-197.65	1.298792163	5	5	649
-197.4	1.297112842	5	5	650
-197.15	1.296223396	5	5	651
-196.9	1.296540115	5	5	652
-196.65	1.298081885	5	5	653
-196.4	1.300482633	5	5	654
-196.15	1.30310545	5	5	655
-195.9	1.305217052	5	5	656
-195.65	1.306196275	5	5	657
-195.4	1.305742768	5	5	658
-195.15	1.304014685	5	5	659
-194.9	1.301605192	5	5	660
-194.65	1.299323247	5	5	661
-194.4	1.297865385	5	5	662
-194.15	1.297558486	5	5	663
-193.9	1.298318555	5	5	664
-193.65	1.299813232	5	5	665
-193.4	1.30166879	5	5	666
-193.15	1.303563603	5	5	667
-192.9	1.305194689	5	5	668
-192.65	1.306242447	5	5	669
-192.4	1.306451461	5	5	670
-192.15	1.305803692	5	5	671
-191.9	1.304627877	5	5	672
-191.65	1.303499385	5	5	673
-191.4	1.302942835	5	5	674
-191.15	1.303125634	5	5	675
-190.9	1.303764907	5	5	676
-190.65	1.304317334	5	5	677
-190.4	1.304308573	5	5	678
-190.15	1.303577378	5	5	679
-189.9	1.302318778	5	5	680
-189.65	1.300976492	5	5	681
-189.4	1.300088667	5	5	682
-189.15	1.300125435	5	5	683
-188.9	1.301308517	5	5	684
-188.65	1.303454951	5	5	685
-188.4	1.305958102	5	5	686
