Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-154.6	 8.72256368962297E-4	 4.755752209259682E-4	 45716.269436303395	 47342.29821028977	 47342.29821028977	 47342.29821028977	 45748.6686286666	 
-154.5	 8.806434494330883E-4	 4.7545475830738617E-4	 45774.509082823766	 47358.04018153579	 47358.04018153579	 47358.04018153579	 45807.045617479846	 
-154.4	 8.890305299038796E-4	 4.753338034104601E-4	 45832.82821462776	 47373.85593385113	 47373.85593385113	 47373.85593385113	 45865.50927255784	 
-154.3	 8.974176103746709E-4	 4.7521235622163767E-4	 45923.25546016129	 47389.74558964593	 47389.74558964593	 47389.74558964593	 45956.08466329247	 
-154.2	 9.058046908454623E-4	 4.750904167276635E-4	 46045.7776698252	 47405.709271954875	 47405.709271954875	 47405.709271954875	 46078.76509012688	 
-154.1	 9.141917713162536E-4	 4.7496798491558466E-4	 46168.362059684056	 47421.74710443894	 47421.74710443894	 47421.74710443894	 46201.52457062947	 
-154.0	 9.225788517870448E-4	 4.7484506077275315E-4	 46291.009223450776	 47437.85921138713	 47437.85921138713	 47437.85921138713	 46324.36370260559	 
-153.9	 9.309659322578362E-4	 4.747216442868299E-4	 46413.719755389844	 47454.04571771825	 47454.04571771825	 47454.04571771825	 46447.28308453723	 
-153.8	 9.393530127286275E-4	 4.745977354457887E-4	 46536.49425032865	 47470.30674898266	 47470.30674898266	 47470.30674898266	 46570.28331559482	 
-153.7	 9.477400931994189E-4	 4.744733342379205E-4	 46659.33330366885	 47486.64243136407	 47486.64243136407	 47486.64243136407	 46693.36499564884	 
-153.6	 9.561271736702101E-4	 4.7434844065183575E-4	 46754.26889393629	 47503.0528916813	 47503.0528916813	 47503.0528916813	 46788.5633855643	 
-153.5	 9.645142541410015E-4	 4.7422305467646997E-4	 46850.05579804411	 47519.5382573901	 47519.5382573901	 47519.5382573901	 46884.624250769375	 
-153.4	 9.729013346117928E-4	 4.740971763010858E-4	 46974.65470917104	 47536.09865658495	 47536.09865658495	 47536.09865658495	 47009.50795781756	 
-153.3	 9.81288415082584E-4	 4.73970805515279E-4	 47099.31959395208	 47552.734218000885	 47552.734218000885	 47552.734218000885	 47134.474783285455	 
-153.2	 9.896754955533754E-4	 4.738439423089793E-4	 47224.051060089405	 47569.4450710153	 47569.4450710153	 47569.4450710153	 47259.52533978149	 
-153.1	 9.980625760241668E-4	 4.737165866724578E-4	 47321.25744766768	 47586.23134564982	 47586.23134564982	 47586.23134564982	 47357.071386550735	 
-153.0	 0.001006449656494958	 4.735887385963277E-4	 47390.95154773528	 47603.09317257213	 47603.09317257213	 47603.09317257213	 47427.12019267756	 
-152.9	 0.0010148367369657494	 4.734603980715503E-4	 47460.73049116118	 47620.03068309782	 47620.03068309782	 47620.03068309782	 47497.262697840975	 
-152.8	 0.0010232238174365407	 4.7333156508943744E-4	 47530.594616185386	 47637.044009192294	 47637.044009192294	 47637.044009192294	 47567.49924849264	 
-152.7	 0.001031610897907332	 4.7320223964165693E-4	 47600.54426194751	 47654.133283472605	 47654.133283472605	 47654.133283472605	 47637.830192062334	 
-152.6	 0.0010399979783781233	 4.730724217202353E-4	 47670.57976849122	 47671.29863920937	 47671.29863920937	 47671.29863920937	 47708.25587696266	 
-152.5	 0.0010483850588489147	 4.729421113175619E-4	 47740.70147676875	 47688.54021032868	 47688.54021032868	 47688.54021032868	 47778.77665259376	 
