Kurbelwinkel	V_alpha_aus_DEWE	Pm_Zyl	Pm_Saug	Pm_Saug_alt	P_Abg	V_alpha	
[KWnZOT]	[m^3]	[bar]	[bar]	[bar]	[bar]	[m^3]	
-16.900000	0.000053	20.799164	0.974517	0.933065	1.031838	0.000052	
-16.800000	0.000053	20.950638	0.974884	0.933201	1.031822	0.000052	
-16.700000	0.000053	21.104640	0.975246	0.933338	1.031804	0.000052	
-16.600000	0.000053	21.261151	0.975603	0.933478	1.031784	0.000052	
-16.500000	0.000053	21.420147	0.975955	0.933619	1.031763	0.000052	
-16.400000	0.000053	21.581601	0.976302	0.933761	1.031740	0.000052	
-16.300000	0.000052	21.745487	0.976644	0.933905	1.031715	0.000052	
-16.200000	0.000052	21.911775	0.976981	0.934051	1.031689	0.000051	
-16.100000	0.000052	22.080432	0.977313	0.934199	1.031662	0.000051	
-16.000000	0.000052	22.251420	0.977639	0.934350	1.031633	0.000051	
-15.900000	0.000052	22.424697	0.977959	0.934502	1.031605	0.000051	
-15.800000	0.000052	22.600222	0.978274	0.934656	1.031576	0.000051	
-15.700000	0.000052	22.777955	0.978583	0.934813	1.031547	0.000051	
-15.600000	0.000051	22.957855	0.978886	0.934973	1.031520	0.000051	
-15.500000	0.000051	23.139878	0.979183	0.935135	1.031493	0.000051	
-15.400000	0.000051	23.323975	0.979474	0.935299	1.031467	0.000050	
-15.300000	0.000051	23.510094	0.979758	0.935466	1.031443	0.000050	
-15.200000	0.000051	23.698177	0.980037	0.935636	1.031421	0.000050	
-15.100000	0.000051	23.888169	0.980309	0.935809	1.031401	0.000050	
-15.000000	0.000051	24.080008	0.980575	0.935985	1.031382	0.000050	
-14.900000	0.000051	24.273629	0.980834	0.936163	1.031365	0.000050	
-14.800000	0.000050	24.468961	0.981086	0.936345	1.031349	0.000050	
-14.700000	0.000050	24.665925	0.981332	0.936529	1.031335	0.000050	
-14.600000	0.000050	24.864440	0.981571	0.936716	1.031322	0.000049	
-14.500000	0.000050	25.064427	0.981803	0.936905	1.031309	0.000049	
-14.400000	0.000050	25.265804	0.982028	0.937098	1.031296	0.000049	
-14.300000	0.000050	25.468492	0.982245	0.937293	1.031283	0.000049	
-14.200000	0.000050	25.672407	0.982456	0.937491	1.031269	0.000049	
-14.100000	0.000050	25.877464	0.982660	0.937691	1.031255	0.000049	
-14.000000	0.000049	26.083580	0.982857	0.937894	1.031240	0.000049	
-13.900000	0.000049	26.290673	0.983046	0.938099	1.031224	0.000049	
-13.800000	0.000049	26.498664	0.983229	0.938307	1.031207	0.000048	
-13.700000	0.000049	26.707476	0.983405	0.938517	1.031189	0.000048	
-13.600000	0.000049	26.917037	0.983574	0.938730	1.031169	0.000048	
-13.500000	0.000049	27.127275	0.983736	0.938945	1.031148	0.000048	
-13.400000	0.000049	27.338121	0.983891	0.939162	1.031126	0.000048	
-13.300000	0.000049	27.549511	0.984040	0.939381	1.031104	0.000048	
-13.200000	0.000048	27.761384	0.984182	0.939603	1.031080	0.000048	
-13.100000	0.000048	27.973681	0.984317	0.939827	1.031057	0.000048	
-13.000000	0.000048	28.186343	0.984447	0.940053	1.031034	0.000048	
-12.900000	0.000048	28.399313	0.984570	0.940281	1.031011	0.000047	
-12.800000	0.000048	28.612539	0.984688	0.940512	1.030989	0.000047	
-12.700000	0.000048	28.825967	0.984800	0.940745	1.030968	0.000047	
-12.600000	0.000048	29.039547	0.984907	0.940980	1.030949	0.000047	
-12.500000	0.000048	29.253227	0.985008	0.941218	1.030931	0.000047	
-12.400000	0.000048	29.466957	0.985104	0.941458	1.030916	0.000047	
-12.300000	0.000047	29.680685	0.985195	0.941700	1.030903	0.000047	
-12.200000	0.000047	29.894360	0.985282	0.941945	1.030892	0.000047	
-12.100000	0.000047	30.107931	0.985364	0.942193	1.030883	0.000047	
-12.000000	0.000047	30.321351	0.985441	0.942443	1.030878	0.000046	
-11.900000	0.000047	30.534572	0.985515	0.942696	1.030874	0.000046	
-11.800000	0.000047	30.747547	0.985585	0.942951	1.030873	0.000046	
-11.700000	0.000047	30.960234	0.985651	0.943209	1.030875	0.000046	
-11.600000	0.000047	31.172593	0.985713	0.943469	1.030878	0.000046	
-11.500000	0.000047	31.384585	0.985772	0.943732	1.030882	0.000046	
-11.400000	0.000047	31.596176	0.985828	0.943997	1.030888	0.000046	
-11.300000	0.000046	31.807332	0.985881	0.944264	1.030895	0.000046	
-11.200000	0.000046	32.018022	0.985932	0.944533	1.030902	0.000046	
