Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_Original [bar]	LWAideal [bar]	p_mitWandwärmeverlust [bar]	p_realer Brennverlauf [bar]	p_HC_CO [bar]	p_Verbrennungslage [bar]	p_Reale Ladung [bar]	p_Gleichraumprozess [bar] 
-222.0	 -0.006993530983839948	 4.4528557888506463E-4	 0.964855119742741	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-221.0	 -0.0069102746626037576	 4.4733285590887865E-4	 0.9662435417780443	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-220.0	 -0.0068270183413675686	 4.493320112700993E-4	 0.967920649645446	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-219.0	 -0.006743762020131378	 4.512829459137635E-4	 0.969808042289354	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-218.0	 -0.006660505698895189	 4.5318557057115173E-4	 0.9716139031173205	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-217.0	 -0.006577249377658998	 4.5503980521968663E-4	 0.9732206444334967	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-216.0	 -0.006493993056422809	 4.568455785524586E-4	 0.9747647789543623	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-215.0	 -0.006410736735186618	 4.5860282745791844E-4	 0.976365873659956	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-214.0	 -0.006327480413950429	 4.6031149651023297E-4	 0.9779800489527135	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-213.0	 -0.006244224092714239	 4.619715374707645E-4	 0.9795367801089072	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-212.0	 -0.00616096777147805	 4.6358290880109783E-4	 0.9811945772390489	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-211.0	 -0.006077711450241859	 4.651455751879945E-4	 0.9831978828303544	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-210.0	 -0.00599445512900567	 4.666595070806276E-4	 0.9855387086921462	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-209.0	 -0.005911198807769479	 4.6812468024041336E-4	 0.9879489059212383	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-208.0	 -0.00582794248653329	 4.6954107530372124E-4	 0.9902113872341144	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-207.0	 -0.0057446861652970995	 4.7090867735771964E-4	 0.9923084408709241	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-206.0	 -0.0056614298440609105	 4.72227475529582E-4	 0.9943112104239485	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-205.0	 -0.00557817352282472	 4.734974625892526E-4	 0.9962322349332644	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-204.0	 -0.005494917201588531	 4.747186345659462E-4	 0.9980656588488167	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-203.0	 -0.00541166088035234	 4.7589099037853404E-4	 0.9999194072901864	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-202.0	 -0.005328404559116151	 4.7701453147994366E-4	 1.0019198338117166	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-201.0	 -0.00524514823787996	 4.780892615156846E-4	 1.0040312164935585	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-200.0	 -0.005161891916643771	 4.7911518599659053E-4	 1.0061330084117501	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-199.0	 -0.005078635595407581	 4.800923119858523E-4	 1.008215310242528	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-198.0	 -0.004995379274171392	 4.8102064780040536E-4	 1.0103298726043966	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-197.0	 -0.004912122952935201	 4.819002027267139E-4	 1.0124222167244656	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-196.0	 -0.004828866631699012	 4.827309867509901E-4	 1.0143546811809987	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-195.0	 -0.004745610310462821	 4.8351301030387383E-4	 1.0161470064984972	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-194.0	 -0.004662353989226632	 4.842462840195835E-4	 1.017986007191229	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-193.0	 -0.0045790976679904415	 4.8493081850955203E-4	 1.0199294318984706	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-192.0	 -0.0044958413467542525	 4.855666241505462E-4	 1.0218200685469907	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-191.0	 -0.004412585025518062	 4.8615371088726406E-4	 1.023641335048724	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-190.0	 -0.004329328704281873	 4.866920880494068E-4	 1.025562142800668	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-189.0	 -0.004246072383045682	 4.871817641832103E-4	 1.0275757585024659	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
-188.0	 -0.004162816061809493	 4.876227468974247E-4	 1.0294659648359559	 0.9497	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 
