[KWnZOT]	[bar]	[bar]	[bar]
-124.5000	1.7501	1.7501	1.7501
-124.0000	1.7613	1.7613	1.7613
-123.5000	1.7726	1.7726	1.7726
-123.0000	1.7803	1.7803	1.7803
-122.5000	1.7935	1.7935	1.7935
-122.0000	1.8079	1.8079	1.8079
-121.5000	1.8100	1.8100	1.8100
-121.0000	1.8189	1.8189	1.8189
-120.5000	1.8338	1.8338	1.8338
-120.0000	1.8343	1.8343	1.8343
-119.5000	1.8478	1.8478	1.8478
-119.0000	1.8539	1.8539	1.8539
-118.5000	1.8596	1.8596	1.8596
-118.0000	1.8677	1.8677	1.8677
-117.5000	1.8859	1.8859	1.8859
-117.0000	1.8954	1.8954	1.8954
-116.5000	1.8969	1.8969	1.8969
-116.0000	1.9137	1.9137	1.9137
-115.5000	1.9331	1.9331	1.9331
-115.0000	1.9510	1.9510	1.9510
-114.5000	1.9517	1.9517	1.9517
-114.0000	1.9607	1.9607	1.9607
-113.5000	1.9817	1.9817	1.9817
-113.0000	1.9989	1.9989	1.9989
-112.5000	2.0027	2.0027	2.0027
-112.0000	2.0188	2.0188	2.0188
-111.5000	2.0247	2.0247	2.0247
-111.0000	2.0370	2.0370	2.0370
-110.5000	2.0487	2.0487	2.0487
-110.0000	2.0580	2.0580	2.0580
-109.5000	2.0758	2.0758	2.0758
-109.0000	2.0870	2.0870	2.0870
-108.5000	2.0966	2.0966	2.0966
-108.0000	2.1143	2.1143	2.1143
-107.5000	2.1355	2.1355	2.1355
-107.0000	2.1425	2.1425	2.1425
-106.5000	2.1461	2.1461	2.1461
-106.0000	2.1742	2.1742	2.1742
-105.5000	2.1982	2.1982	2.1982
-105.0000	2.2012	2.2012	2.2012
-104.5000	2.2195	2.2195	2.2195
-104.0000	2.2473	2.2473	2.2473
-103.5000	2.2579	2.2579	2.2579
-103.0000	2.2606	2.2606	2.2606
-102.5000	2.2878	2.2878	2.2878
-102.0000	2.3125	2.3125	2.3125
-101.5000	2.3178	2.3178	2.3178
-101.0000	2.3326	2.3326	2.3326
-100.5000	2.3626	2.3626	2.3626
-100.0000	2.3775	2.3775	2.3775
-99.5000	2.3971	2.3971	2.3971
-99.0000	2.4093	2.4093	2.4093
-98.5000	2.4386	2.4386	2.4386
-98.0000	2.4574	2.4574	2.4574
-97.5000	2.4673	2.4673	2.4673
-97.0000	2.4944	2.4944	2.4944
-96.5000	2.5188	2.5188	2.5188
-96.0000	2.5419	2.5419	2.5419
-95.5000	2.5527	2.5527	2.5527
-95.0000	2.5785	2.5785	2.5785
-94.5000	2.6046	2.6046	2.6046
-94.0000	2.6236	2.6236	2.6236
-93.5000	2.6459	2.6459	2.6459
-93.0000	2.6703	2.6703	2.6703
-92.5000	2.6975	2.6975	2.6975
-92.0000	2.7202	2.7202	2.7202
-91.5000	2.7451	2.7451	2.7451
-91.0000	2.7705	2.7705	2.7705
-90.5000	2.7964	2.7964	2.7964
-90.0000	2.8231	2.8231	2.8231
-89.5000	2.8512	2.8512	2.8512
-89.0000	2.8750	2.8750	2.8750
-88.5000	2.8993	2.8993	2.8993
-88.0000	2.9372	2.9372	2.9372
-87.5000	2.9644	2.9644	2.9644
-87.0000	2.9911	2.9911	2.9911
-86.5000	3.0212	3.0212	3.0212
-86.0000	3.0527	3.0527	3.0527
-85.5000	3.0841	3.0841	3.0841
-85.0000	3.1067	3.1067	3.1067
-84.5000	3.1463	3.1463	3.1463
-84.0000	3.1857	3.1857	3.1857
-83.5000	3.2110	3.2110	3.2110
-83.0000	3.2450	3.2450	3.2450
-82.5000	3.2861	3.2861	3.2861
-82.0000	3.3210	3.3210	3.3210
-81.5000	3.3554	3.3554	3.3554
-81.0000	3.3891	3.3891	3.3891
-80.5000	3.4352	3.4352	3.4352
-80.0000	3.4708	3.4708	3.4708
-79.5000	3.5080	3.5080	3.5080
-79.0000	3.5502	3.5502	3.5502
-78.5000	3.5922	3.5922	3.5922
-78.0000	3.6338	3.6338	3.6338
-77.5000	3.6745	3.6745	3.6745
-77.0000	3.7210	3.7210	3.7210
-76.5000	3.7622	3.7622	3.7622
-76.0000	3.8136	3.8136	3.8136
-75.5000	3.8601	3.8601	3.8601
-75.0000	3.9026	3.9026	3.9026
-74.5000	3.9528	3.9528	3.9528
-74.0000	3.9992	3.9992	3.9992
-73.5000	4.0548	4.0548	4.0548
-73.0000	4.1034	4.1034	4.1034
-72.5000	4.1566	4.1566	4.1566
-72.0000	4.2124	4.2124	4.2124
-71.5000	4.2653	4.2653	4.2653
-71.0000	4.3235	4.3235	4.3235
-70.5000	4.3838	4.3838	4.3838
-70.0000	4.4440	4.4440	4.4440
-69.5000	4.5013	4.5013	4.5013
-69.0000	4.5620	4.5620	4.5620
-68.5000	4.6285	4.6285	4.6285
-68.0000	4.6904	4.6904	4.6904
-67.5000	4.7575	4.7575	4.7575
-67.0000	4.8233	4.8233	4.8233
-66.5000	4.8877	4.8877	4.8877
-66.0000	4.9629	4.9629	4.9629
-65.5000	5.0372	5.0372	5.0372
-65.0000	5.1115	5.1115	5.1115
-64.5000	5.1813	5.1813	5.1813
-64.0000	5.2593	5.2593	5.2593
-63.5000	5.3373	5.3373	5.3373
-63.0000	5.4175	5.4175	5.4175
-62.5000	5.5060	5.5060	5.5060
-62.0000	5.5856	5.5856	5.5856
-61.5000	5.6737	5.6737	5.6737
-61.0000	5.7605	5.7605	5.7605
-60.5000	5.8525	5.8525	5.8525
-60.0000	5.9494	5.9494	5.9494
-59.5000	6.0392	6.0392	6.0392
-59.0000	6.1401	6.1401	6.1401
-58.5000	6.2369	6.2369	6.2369
-58.0000	6.3392	6.3392	6.3392
-57.5000	6.4427	6.4427	6.4427
-57.0000	6.5520	6.5520	6.5520
-56.5000	6.6617	6.6617	6.6617
-56.0000	6.7732	6.7732	6.7732
-55.5000	6.8910	6.8910	6.8910
-55.0000	7.0019	7.0019	7.0019
-54.5000	7.1301	7.1301	7.1301
-54.0000	7.2574	7.2574	7.2574
-53.5000	7.3823	7.3823	7.3823
-53.0000	7.5201	7.5201	7.5201
-52.5000	7.6474	7.6474	7.6474
-52.0000	7.7889	7.7889	7.7889
-51.5000	7.9247	7.9247	7.9247
-51.0000	8.0737	8.0737	8.0737
-50.5000	8.2263	8.2263	8.2263
-50.0000	8.3726	8.3726	8.3726
-49.5000	8.5336	8.5336	8.5336
-49.0000	8.6940	8.6940	8.6940
-48.5000	8.8622	8.8622	8.8622
-48.0000	9.0281	9.0281	9.0281
-47.5000	9.2072	9.2072	9.2072
-47.0000	9.3859	9.3859	9.3859
-46.5000	9.5668	9.5668	9.5668
-46.0000	9.7576	9.7576	9.7576
-45.5000	9.9522	9.9522	9.9522
-45.0000	10.1576	10.1576	10.1576
-44.5000	10.3539	10.3539	10.3539
-44.0000	10.5653	10.5653	10.5653
-43.5000	10.7883	10.7883	10.7883
-43.0000	11.0056	11.0056	11.0056
-42.5000	11.2316	11.2316	11.2316
-42.0000	11.4721	11.4721	11.4721
-41.5000	11.7169	11.7169	11.7169
-41.0000	11.9590	11.9590	11.9590
-40.5000	12.2116	12.2116	12.2116
-40.0000	12.4823	12.4823	12.4823
-39.5000	12.7494	12.7494	12.7494
-39.0000	13.0234	13.0234	13.0234
-38.5000	13.3081	13.3081	13.3081
-38.0000	13.6013	13.6013	13.6013
-37.5000	13.9019	13.9019	13.9019
-37.0000	14.2062	14.2062	14.2062
-36.5000	14.5334	14.5334	14.5334
-36.0000	14.8576	14.8576	14.8576
-35.5000	15.1883	15.1883	15.1883
-35.0000	15.5344	15.5344	15.5344
-34.5000	15.8921	15.8921	15.8921
-34.0000	16.2556	16.2556	16.2556
-33.5000	16.6219	16.6219	16.6219
-33.0000	17.0077	17.0077	17.0077
-32.5000	17.4089	17.4089	17.4089
-32.0000	17.8153	17.8153	17.8153
-31.5000	18.2255	18.2255	18.2255
-31.0000	18.6608	18.6608	18.6608
-30.5000	19.0997	19.0997	19.0997
