[KWnZOT]	[bar]	[bar]	[bar]
-312.6	2.3639	2.2683	2.8259
-312.5	2.3645	2.2685	2.8261
-312.4	2.3609	2.2689	2.8259
-312.3	2.3627	2.2699	2.8265
-312.2	2.3652	2.2698	2.8258
-312.1	2.3639	2.2706	2.8256
-312	2.3672	2.2708	2.825
-311.9	2.3649	2.271	2.8245
-311.8	2.3646	2.2719	2.8241
-311.7	2.3611	2.2721	2.8225
-311.6	2.3631	2.2725	2.8214
-311.5	2.3627	2.2734	2.8214
-311.4	2.3624	2.2731	2.819
-311.3	2.3624	2.2741	2.819
-311.2	2.3636	2.2745	2.8177
-311.1	2.3639	2.2754	2.818
-311	2.361	2.2755	2.8164
-310.9	2.3611	2.2765	2.8161
-310.8	2.3633	2.2769	2.8162
-310.7	2.362	2.2771	2.8152
-310.6	2.3613	2.2781	2.8149
-310.5	2.363	2.2781	2.8141
-310.4	2.3601	2.2782	2.8135
-310.3	2.3594	2.2786	2.812
-310.2	2.3617	2.2789	2.8121
-310.1	2.3597	2.2783	2.8112
-310	2.3604	2.2791	2.8111
-309.9	2.3579	2.2798	2.812
-309.8	2.3601	2.2798	2.8122
-309.7	2.3606	2.2803	2.8116
-309.6	2.3604	2.281	2.8114
-309.5	2.3585	2.2806	2.8115
-309.4	2.359	2.2815	2.8116
-309.3	2.3587	2.2812	2.8101
-309.2	2.3573	2.2817	2.811
-309.1	2.3568	2.2817	2.8092
-309	2.3574	2.2824	2.8095
-308.9	2.3569	2.2825	2.8082
-308.8	2.3553	2.2827	2.8076
-308.7	2.3555	2.2827	2.8058
-308.6	2.353	2.2834	2.8053
-308.5	2.3565	2.2834	2.8054
-308.4	2.3536	2.2835	2.8042
-308.3	2.3556	2.284	2.8028
-308.2	2.3543	2.2833	2.8006
-308.1	2.3536	2.2843	2.8009
-308	2.3549	2.2843	2.798
-307.9	2.3539	2.2843	2.7973
-307.8	2.3543	2.2842	2.7956
-307.7	2.3527	2.2849	2.7955
-307.6	2.353	2.2847	2.7936
-307.5	2.3525	2.2843	2.7927
-307.4	2.353	2.284	2.7911
-307.3	2.3547	2.2841	2.7907
-307.2	2.3531	2.2836	2.7895
-307.1	2.354	2.2836	2.7886
-307	2.3527	2.2836	2.7885
-306.9	2.3514	2.283	2.7868
-306.8	2.3512	2.2829	2.7874
-306.7	2.352	2.2822	2.7856
-306.6	2.3519	2.2825	2.7862
-306.5	2.3524	2.2815	2.7846
-306.4	2.3523	2.2818	2.7849
-306.3	2.3511	2.2815	2.7848
-306.2	2.351	2.2812	2.784
-306.1	2.3514	2.2806	2.7839
-306	2.352	2.2806	2.784
-305.9	2.3515	2.2798	2.7831
-305.8	2.3503	2.2796	2.7833
-305.7	2.3524	2.2794	2.7823
-305.6	2.3508	2.2789	2.7816
-305.5	2.3499	2.2784	2.7804
-305.4	2.3514	2.2784	2.7804
-305.3	2.3511	2.2779	2.7785
-305.2	2.348	2.2771	2.7777
-305.1	2.3482	2.2775	2.778
-305	2.3495	2.2761	2.7761
-304.9	2.3488	2.276	2.7751
-304.8	2.3511	2.2752	2.7741
-304.7	2.3487	2.2742	2.7718
-304.6	2.3468	2.2746	2.7721
-304.5	2.3498	2.2737	2.7695
-304.4	2.3483	2.2736	2.7696
-304.3	2.3467	2.2723	2.7672
-304.2	2.3477	2.2725	2.7668
-304.1	2.3466	2.2713	2.7657
-304	2.3462	2.2711	2.7645
-303.9	2.3466	2.2711	2.7647
-303.8	2.3468	2.2697	2.7628
-303.7	2.3468	2.2697	2.7632
-303.6	2.3469	2.2686	2.7615
-303.5	2.3464	2.268	2.7605
-303.4	2.3468	2.2672	2.7604
-303.3	2.346	2.267	2.7594
-303.2	2.3472	2.2655	2.7578
-303.1	2.3456	2.2653	2.757
-303	2.345	2.2646	2.7562
-302.9	2.3446	2.2637	2.7543
-302.8	2.3431	2.2629	2.754
-302.7	2.3433	2.2629	2.7536
-302.6	2.3442	2.2618	2.7521
-302.5	2.3457	2.261	2.7516
-302.4	2.3422	2.26	2.7502
-302.3	2.3435	2.2591	2.7496
-302.2	2.3432	2.2583	2.7485
-302.1	2.3422	2.258	2.7488
-302	2.3411	2.2567	2.748
-301.9	2.3438	2.2561	2.7473
-301.8	2.343	2.2554	2.7468
-301.7	2.3405	2.2548	2.746
-301.6	2.3418	2.254	2.7454
-301.5	2.3394	2.2538	2.7459
-301.4	2.3415	2.2531	2.7444
-301.3	2.3401	2.252	2.7441
-301.2	2.34	2.2519	2.7454
-301.1	2.3381	2.2517	2.7452
-301	2.3383	2.2504	2.7454
-300.9	2.3398	2.2497	2.7445
-300.8	2.3383	2.2486	2.7455
-300.7	2.3372	2.2479	2.7454
-300.6	2.3367	2.2473	2.7462
-300.5	2.3369	2.2457	2.7461
-300.4	2.3355	2.2453	2.7466
-300.3	2.335	2.2444	2.7473
-300.2	2.3343	2.2432	2.7464
-300.1	2.3354	2.2432	2.7473
-300	2.3328	2.2417	2.7464
-299.9	2.3333	2.2418	2.7472
-299.8	2.334	2.2411	2.7468
